DoubleExpMovingAverage,3355.8508
ZLEMA,3535.8862
RSI,3507.0806
TimeLag,3636.7058
AD,3708.7192
WilliamR,3593.4968
LongShort,3543.0872
KAMA,3507.08
WMA,3579.0942
RAVI,3571.8926
VWAP,3571.893
ROC,3672.7124
NVI,3622.3027
PPO,3658.3093
MACD,3543.0872
CoppCurve,3643.907
PVI,3607.9
MVWAP,3643.907
StochasticOscillatorK,3557.4902
Chaikin,3679.9136
HMA,3593.4973
fundamentalist , 3793.863
TripleExpMovingAverage,3767.6055
SimpleMovingAverage,3904.609
ExpMovingAverage,3798.0503
DoubleExpMovingAverage,3904.609
ZLEMA,3790.439
RSI,3927.4429
TimeLag,3805.6616
AD,3638.2124
WilliamR,3866.5522
LongShort,3767.6055
KAMA,3836.107
WMA,3767.6055
RAVI,3699.1035
VWAP,3820.8843
ROC,3622.9897
NVI,3775.2168
PPO,3973.1108
MACD,3866.5522
CoppCurve,3874.1636
PVI,3896.9973
MVWAP,3843.7183
StochasticOscillatorK,3942.6655
Chaikin,3767.6047
HMA,3714.3257
fundamentalist , 4024.08
TripleExpMovingAverage,3762.1082
SimpleMovingAverage,4109.2554
ExpMovingAverage,3907.4253
DoubleExpMovingAverage,4085.036
ZLEMA,4068.8892
RSI,3891.2788
TimeLag,4181.9146
AD,3875.1333
WilliamR,3939.7183
LongShort,3939.7188
KAMA,3988.1575
WMA,3988.1577
RAVI,4133.4746
VWAP,4068.8894
ROC,4068.89
NVI,4068.8894
PPO,4052.743
MACD,4109.256
CoppCurve,4085.0352
PVI,4133.4746
MVWAP,4149.6216
StochasticOscillatorK,4004.304
Chaikin,4052.743
HMA,3972.011
fundamentalist , 3824.3718
TripleExpMovingAverage,3830.5012
SimpleMovingAverage,3830.5015
ExpMovingAverage,3799.857
DoubleExpMovingAverage,3769.2134
ZLEMA,3907.1113
RSI,3830.5007
TimeLag,3853.4844
AD,3930.0942
WilliamR,3792.1965
LongShort,4045.009
KAMA,3753.891
WMA,3968.399
RAVI,3983.7214
VWAP,3830.5012
ROC,3838.1616
NVI,3861.1453
PPO,3976.06
MACD,3899.4504
CoppCurve,3845.8235
PVI,3853.4849
MVWAP,3646.6375
StochasticOscillatorK,4006.7043
Chaikin,3753.8914
HMA,3861.1453
fundamentalist , 3754.1455
TripleExpMovingAverage,3780.282
SimpleMovingAverage,3810.5847
ExpMovingAverage,3742.403
DoubleExpMovingAverage,3446.9504
ZLEMA,3825.7363
RSI,3749.9792
TimeLag,3727.2524
AD,3712.101
WilliamR,3696.9487
LongShort,3840.8882
KAMA,3803.009
WMA,3886.3423
RAVI,3795.4336
VWAP,3939.3723
ROC,3757.5547
NVI,3772.7063
PPO,3977.2507
MACD,3621.1926
CoppCurve,3749.979
PVI,3749.9792
MVWAP,3772.7063
StochasticOscillatorK,3803.0093
Chaikin,3689.373
HMA,4053.0078
fundamentalist , 3866.8157
TripleExpMovingAverage,3996.3125
SimpleMovingAverage,3804.1824
ExpMovingAverage,3942.5156
DoubleExpMovingAverage,3957.8862
ZLEMA,3612.052
RSI,3873.3489
TimeLag,3781.1265
AD,3819.5527
WilliamR,3988.6277
LongShort,3865.664
KAMA,3658.1626
WMA,3688.9038
RAVI,3819.5522
VWAP,3796.4976
ROC,3788.8118
NVI,3873.3489
PPO,3804.1821
MACD,3842.6082
CoppCurve,3704.2742
PVI,3842.6086
MVWAP,3973.257
StochasticOscillatorK,3950.2017
Chaikin,3911.775
HMA,3704.2742
fundamentalist , 3767.8396
TripleExpMovingAverage,3691.349
SimpleMovingAverage,3698.9602
ExpMovingAverage,3752.237
DoubleExpMovingAverage,3843.5696
ZLEMA,3759.8484
RSI,3972.9575
TimeLag,3835.9583
AD,3752.2375
WilliamR,3881.625
LongShort,3721.7935
KAMA,3630.461
WMA,3767.4595
RAVI,3813.1257
VWAP,3691.349
ROC,3592.4058
NVI,3676.1274
PPO,3835.9585
MACD,3919.6804
CoppCurve,3942.5132
PVI,3912.069
MVWAP,3866.4028
StochasticOscillatorK,3744.6257
Chaikin,3858.7917
HMA,3714.1824
fundamentalist , 3823.2632
TripleExpMovingAverage,3904.1575
SimpleMovingAverage,3904.1577
ExpMovingAverage,3767.436
DoubleExpMovingAverage,3775.0325
ZLEMA,3843.3926
RSI,3850.9883
TimeLag,3843.392
AD,3835.7974
WilliamR,3828.2012
LongShort,3759.8406
KAMA,3835.7969
WMA,3866.1792
RAVI,3972.5183
VWAP,3767.436
ROC,3759.8398
NVI,3691.4797
PPO,3904.1575
MACD,3888.9663
CoppCurve,3949.731
PVI,4033.2832
MVWAP,3888.966
StochasticOscillatorK,3813.0098
Chaikin,3896.5625
HMA,3987.7097
fundamentalist , 3523.671
TripleExpMovingAverage,3520.4985
SimpleMovingAverage,3527.554
ExpMovingAverage,3654.5454
DoubleExpMovingAverage,3562.8289
ZLEMA,3562.8293
RSI,3506.3882
TimeLag,3485.2227
AD,3414.6724
WilliamR,3492.2786
LongShort,3710.9858
KAMA,3266.5146
WMA,3442.892
RAVI,3675.711
VWAP,3449.9473
ROC,3506.3887
NVI,3337.0652
PPO,3337.066
MACD,3372.3413
CoppCurve,3322.955
PVI,3386.4512
MVWAP,3576.94
StochasticOscillatorK,3527.5535
Chaikin,3499.3333
HMA,3407.6165
fundamentalist , 3670.6765
TripleExpMovingAverage,3478.3364
SimpleMovingAverage,3640.4622
